time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1702857600,42744.41,40512.69,41349.42,32860.71,1362661202.35,42650.27,direct,""
1702944000,43454.44,41796.54,42650.27,30940.15,1318306822.38,42268.08,direct,""
1703030400,44303.12,42195.52,42268.08,41481.09,1805958609.9,43669.91,direct,""
1703116800,44245.16,43306.15,43669.91,29872.95,1306652594.38,43875.01,direct,""
1703203200,44417.78,43426.51,43875.01,24740.39,1084076406.5,44008.04,direct,""
1703289600,44024.62,43338.34,44008.04,10973.31,479555333.8,43732.75,direct,""
1703376000,43965.2,42635.13,43732.75,14281.15,621424795.87,43023.12,direct,""
1703462400,43808.21,42763.83,43023.12,14747.02,639501515.36,43593.79,direct,""
1703548800,43604.51,41616.59,43593.79,30529.57,1297798884.96,42517.32,direct,""
1703635200,43694.83,42121.77,42517.32,27420.29,1178861473.09,43469.34,direct,""
1703721600,43817.61,42283.91,43469.34,29112.04,1249335317.05,42588.94,direct,""
1703808000,43134.59,41296.86,42588.94,34268.41,1450476730.93,42073.59,direct,""
1703894400,42595.81,41529.95,42073.59,21511.57,905852574.49,42146.03,direct,""
1703980800,42863.11,41970.37,42146.03,21509.24,912867128.16,42280.14,direct,""
1704067200,44210.89,42187.32,42280.14,19499.59,839894208.67,44197.61,direct,""
1704153600,45918.98,44181.86,44197.61,57443.36,2596745174.99,44970.34,direct,""
1704240000,45513.73,40214.67,44970.34,82056.19,3533041051.83,42854.08,direct,""
1704326400,44797.03,42657.44,42854.08,49538.94,2167748750.23,44194.38,direct,""
1704412800,44377.15,42508.08,44194.38,54169.3,2368276569.22,44178.89,direct,""
1704499200,44248.4,43444.9,44178.89,16352.13,717065469.35,43988.33,direct,""
1704585600,44496.47,43639.57,43988.33,20056.41,884154712.5,43950.84,direct,""
1704672000,47295.94,43209.8,43950.84,66057.64,3000303504.99,46988.14,direct,""
1704758400,47923.17,44889.64,46988.14,66281.93,3083632967.78,46123,direct,""
1704844800,47705.84,44326.32,46123,80226.64,3677964834.63,46667.48,direct,""
1704931200,49054.05,45580.11,46667.48,77548.89,3638877778.74,46353.15,direct,""
1705017600,46512.17,41454.57,46353.15,87031.78,3855256978.62,42776.42,direct,""
1705104000,43243.47,42438.36,42776.42,23024.72,986309535.03,42839.19,direct,""
1705190400,43060.49,41702.53,42839.19,21730.6,924871801.97,41704.39,direct,""
1705276800,43325.88,41687.69,41704.39,24561.1,1046074902.52,42491.26,direct,""
1705363200,43562.19,42047.82,42491.26,36429.24,1565259395.93,43130.88,direct,""
1705449600,43183.19,42172.64,43130.88,32911.24,1403011843.2,42739.27,direct,""
1705536000,42876.35,40606.86,42739.27,45180.42,1885882508.36,41286.68,direct,""
1705622400,42151.57,40246.58,41286.68,45191.13,1864062474.18,41625.47,direct,""
1705708800,41846.45,41433.27,41625.47,13096.14,544668570.57,41677.08,direct,""
1705795200,41862.83,41493.59,41677.08,9176.94,382561229.54,41570.17,direct,""
1705881600,41669.9,39396.81,41570.17,56109.4,2270442343.15,39523.63,direct,""
1705968000,40136.09,38512.34,39523.63,46007.49,1805745649.27,39876.44,direct,""
1706054400,40526.25,39429.31,39876.44,37009.85,1476062916.95,40078.62,direct,""
1706140800,40280.91,39523.94,40078.62,29183.88,1164224625.52,39941.74,direct,""
1706227200,42227.71,39814.87,39941.74,42739.48,1763833855.75,41816.55,direct,""
1706313600,42191.83,41393.22,41816.55,10632.46,444567824.09,42124.02,direct,""
1706400000,42822.8,41632.18,42124.02,16615.66,702267432.76,42028.92,direct,""
1706486400,43308.42,41804.05,42028.92,27783.74,1184671101.99,43302.28,direct,""
1706572800,43855.77,42690.4,43302.28,34500.06,1498626265.1,42943.64,direct,""
1706659200,43734.38,42276.82,42943.64,39491.24,1695950546.73,42555.08,direct,""
1706745600,43267.39,41855.88,42555.08,29018.49,1234469121.23,43073.2,direct,""
1706832000,43452.76,42536.21,43073.2,26779.09,1152442855.72,43181.71,direct,""
1706918400,43355.76,42874.37,43181.71,7556.6,325725942.96,42999.52,direct,""
1707004800,43093.79,42232.02,42999.52,9589.32,410404369.06,42570.21,direct,""
1707091200,43518.7,41931.59,42570.21,24867.17,1062866796.14,42664.56,direct,""
1707177600,43360.05,42526.92,42664.56,22482.95,966265875.57,43091.51,direct,""
1707264000,44402,42766.8,43091.51,30331.77,1319628672.43,44339.04,direct,""
1707350400,45622.13,44333.87,44339.04,39654.68,1785332802.43,45304.61,direct,""
1707436800,48208.27,45257.22,45304.61,50590.41,2379925849.32,47154.23,direct,""
1707523200,48166.14,46894.61,47154.23,16452.46,780554926.36,47768.12,direct,""
1707609600,48597.46,47592.04,47768.12,19858.95,956986637.1,48311.16,direct,""
1707696000,50339.2,47718.59,48311.16,47112.86,2319184140.26,49942.97,direct,""
1707782400,50392.92,48336.83,49942.97,42027.05,2075339722.8,49733.11,direct,""
1707868800,52085.66,49272.58,49733.11,43948.58,2252886326.88,51844.19,direct,""
1707955200,52845.45,51357.81,51844.19,42990.13,2239765884.49,51934.57,direct,""
1708041600,52598.05,51604.88,51934.57,32295.2,1680749372.19,52163.28,direct,""
1708128000,52201.89,50647.34,52163.28,17696.94,910308869.83,51668.78,direct,""
1708214400,52393.59,51194.3,51668.78,14716.3,762533081.81,52139.33,direct,""
1708300800,52487.6,51691.25,52139.33,18980.36,989270690.85,51781.22,direct,""
1708387200,52985.95,50766.77,51781.22,39504.32,2050493239.79,52269.59,direct,""
1708473600,52375.42,50633.49,52269.59,32665.42,1676374071.14,51854.36,direct,""
1708560000,52056.01,50914.97,51854.36,30501.44,1573393306.75,51263.67,direct,""
1708646400,51509.58,50523.07,51263.67,26365.93,1345274652.99,50744.07,direct,""
1708732800,51687.88,50583.66,50744.07,10707.22,548313000.54,51574.61,direct,""
1708819200,51957.87,51288.57,51574.61,12394.68,640224439.02,51727.63,direct,""
1708905600,54939.87,50920.53,51727.63,47961.27,2550669499.35,54518.58,direct,""
1708992000,57612.94,54483.19,54518.58,62683.92,3546751167.69,57071.6,direct,""
1709078400,64086.08,56726.31,57071.6,102181.72,6171823618.31,62507.1,direct,""
1709164800,63652.76,60370.98,62507.1,84709.08,5259277822.5,61179.58,direct,""
1709251200,63226.77,60795.21,61179.58,52747.33,3267402863.37,62431.25,direct,""
1709337600,62479.07,61631.05,62431.25,20264.53,1257238241.46,62038.39,direct,""
1709424000,63254.84,61392.4,62038.39,20301.48,1265273119.48,63149.43,direct,""
1709510400,68562.03,62363.97,63149.43,79177.16,5220774005.79,68338.64,direct,""
1709596800,69244.55,59268.68,68338.64,126873.13,8263897912.84,63804.11,direct,""
1709683200,67645.97,62851.27,63804.11,68031.77,4498440968.53,66115.57,direct,""
1709769600,68065.89,65610.94,66115.57,41800.64,2804368120.13,66928.15,direct,""
1709856000,70151.23,66173.73,66928.15,59361.92,4046244830.74,68269.39,direct,""
1709942400,68663.92,68026.81,68269.39,16947.1,1158711168.05,68446.32,direct,""
1710028800,69976.84,68218.19,68446.32,27686.99,1919585405.6,69023.53,direct,""
1710115200,72872.77,67170.42,69023.53,62709.74,4476609937.75,72095.86,direct,""
1710201600,72996.99,68636.43,72095.86,58546.01,4173072731.62,71449.5,direct,""
1710288000,73672.14,71329.7,71449.5,41314.41,3008299520.61,73118.09,direct,""
1710374400,73802.64,68493.91,73118.09,60699.01,4325873413.25,71366.96,direct,""
1710460800,72394.97,65579.78,71366.96,73358.94,5016358153.02,69497.39,direct,""
1710547200,70043.23,64783.87,69497.39,33956.52,2295869354.32,65260.55,direct,""
1710633600,68873.88,64529.3,65260.55,29362.49,1962751757.05,68364.45,direct,""
1710720000,68925.18,66584.49,68364.45,38542.52,2602930945.01,67609.44,direct,""
1710806400,68116.53,61529.15,67609.44,75848.91,4863914201.82,61924.02,direct,""
1710892800,68139.33,60782.8,61924.02,69671.19,4466872469.25,67857.3,direct,""
1710979200,68229.38,64548.09,67857.3,38234.75,2542747734.72,65493.22,direct,""
1711065600,66643.64,62321.3,65493.22,37343.35,2395884490.04,63816.99,direct,""
1711152000,66005.71,63025.99,63816.99,19360.47,1250716141.79,64004.42,direct,""
1711238400,67623.78,63802.82,64004.42,19120.87,1253420264.9,67208.33,direct,""
1711324800,71202.65,66400.46,67208.33,46100.6,3184570068.52,69892.26,direct,""
1711411200,71558.85,69294.69,69892.26,32990.33,2319265484.04,69990.22,direct,""
1711497600,71762.06,68384.71,69990.22,40450.72,2817965870.72,69434.46,direct,""
1711584000,71593.93,68864.89,69434.46,31346.01,2214217706.88,70789.57,direct,""
1711670400,70925.04,69059.03,70789.57,17382.89,1216001428.98,69903.72,direct,""
1711756800,70356.07,69586.01,69903.72,7371.14,515940317.66,69629.99,direct,""
1711843200,71389.78,69601.39,69629.99,10567.65,745658086.55,71312.91,direct,""
1711929600,71325.61,68074.92,71312.91,28892.19,2005923775.26,69686.37,direct,""
1712016000,69703.1,64571.71,69686.37,48905.67,3234216304.99,65466.81,direct,""
1712102400,66925.93,64514.87,65466.81,27792.87,1835055534.78,65986.11,direct,""
1712188800,69343.32,65081.42,65986.11,36673.5,2475521298.64,68523.79,direct,""
1712275200,68772.34,65994.65,68523.79,32904.8,2219856764.99,67860.53,direct,""
1712361600,69672.09,67483.82,67860.53,11314.76,772361130.33,68913.79,direct,""
1712448000,70303.08,68877.35,68913.79,13691.75,951477284.85,69357.32,direct,""
1712534400,72750.51,69064.41,69357.32,36459.33,2607488940.79,71629.36,direct,""
1712620800,71748.92,68213.24,71629.36,34538.71,2411758700.3,69129.48,direct,""
1712707200,71150.5,67480.7,69129.48,37142.44,2563902180.98,70628.54,direct,""
1712793600,71297.81,69558.05,70628.54,24988.45,1758820969.32,70026.43,direct,""
1712880000,71246.69,65257.57,70026.43,49331.17,3367653179.18,67158.3,direct,""
1712966400,68422.6,61079.47,67158.3,56915.71,3689543158.77,64021.36,direct,""
1713052800,65874.88,62229.8,64021.36,40968.04,2627998512.52,65765.64,direct,""
1713139200,66902.94,62328.07,65765.64,40978.19,2658417494.41,63447.27,direct,""
1713225600,64385.46,61667.72,63447.27,35542.55,2234500815.41,63824.7,direct,""
1713312000,64503.77,59682.79,63824.7,41504.19,2562816108.8,61283.74,direct,""
1713398400,64181.25,60829.27,61283.74,31452.84,1972785716.37,63511.2,direct,""
1713484800,65491.94,59607.49,63511.2,46058.39,2923364930.21,63848.26,direct,""
1713571200,65453.07,63140.68,63848.26,13464.03,866105478.99,64979.21,direct,""
1713657600,65724.22,64271.77,64979.21,13150.64,854324202.42,64955.82,direct,""
1713744000,67257.68,64536.42,64955.82,22839.75,1510230897.53,66854.24,direct,""
1713830400,67211.15,65835.93,66854.24,17575.6,1169300050.32,66415.06,direct,""
1713916800,67067.52,63556.97,66415.06,28785.93,1878460968.73,64263.95,direct,""
1714003200,65279.7,62759.65,64263.95,26730.52,1713069016.97,64488.49,direct,""
1714089600,64795.15,63307.56,64488.49,19914.4,1275865834.83,63750.63,direct,""
1714176000,63904.85,62408.97,63750.63,12684.85,799665556.56,63434.44,direct,""
1714262400,64335.08,62769.01,63434.44,10104.62,642628554.25,63111.34,direct,""
1714348800,64192.54,61768.51,63111.34,21849.86,1370557060.16,63847.54,direct,""
1714435200,64721.13,59097.29,63847.54,41212.82,2518380270.05,60633.97,direct,""
1714521600,60788.52,56516.09,60633.97,52053.76,3014503800.73,58277.44,direct,""
1714608000,59628.08,56936.28,58277.44,29471.89,1724718703.27,59083.85,direct,""
1714694400,63355.83,58835.76,59083.85,35180.41,2147038663.01,62917.45,direct,""
1714780800,64539.14,62587.84,62917.45,16206.9,1029192793.92,63904.51,direct,""
1714867200,64634.43,62923.47,63904.51,12595.62,803966989.59,64037.5,direct,""
1714953600,65517.33,62715.9,64037.5,24082.55,1537928462.74,63168.44,direct,""
1715040000,64403.15,62274.09,63168.44,20907.17,1326416673.48,62323.36,direct,""
1715126400,63004.6,60867.52,62323.36,18593.4,1155791451.43,61179.81,direct,""
1715212800,63429.98,60623.94,61179.81,18440.55,1140626858.17,63077.18,direct,""
1715299200,63469.13,60181.24,63077.18,25390.35,1565941805.66,60790.82,direct,""
1715385600,61489.54,60474.73,60790.82,8298.11,505608099.69,60823.19,direct,""
1715472000,61838.51,60600.9,60823.19,8214.5,502848342.69,61459.22,direct,""
1715558400,63445.72,60758.38,61459.22,21250.01,1327733464.12,62932.29,direct,""
1715644800,63097.07,61094.77,62932.29,26392.04,1636519845.72,61548.48,direct,""
1715731200,66467.29,61325.48,61548.48,40708.36,2625073579.59,66245.16,direct,""
1715817600,66760.54,64600.05,66245.16,24275.96,1596664354.59,65250.53,direct,""
1715904000,67489.24,65120.39,65250.53,23340.48,1552274385.82,67051.35,direct,""
1715990400,67397.7,66633.01,67051.35,8752.24,586174043.35,66927.56,direct,""
1716076800,67696.21,65878.18,66927.56,9725.64,650338446.5,66268.25,direct,""
1716163200,71546.4,66071.74,66268.25,38260.49,2624709812.32,71430.23,direct,""
1716249600,71964.79,69158.99,71430.23,30747.6,2169803609.99,70141.17,direct,""
1716336000,70643.89,68952.24,70141.17,22981.44,1603267534.2,69123.56,direct,""
1716422400,70037.76,66370,69123.56,28168.79,1922285401.83,67946.35,direct,""
1716508800,69264.17,66613.35,67946.35,18239.62,1242012319.42,68548.33,direct,""
1716595200,69599.81,68498.87,68548.33,5972,412212332.66,69288.95,direct,""
1716681600,69511.53,68156.05,69288.95,5502.87,379159635.92,68488.29,direct,""
1716768000,70613.89,68227.32,68488.29,13110.64,909946343.46,69386.83,direct,""
1716854400,69533.54,67206.37,69386.83,22223.83,1514489243.92,68330.84,direct,""
1716940800,68858.38,67099.33,68330.84,16353.37,1108570253.28,67576.81,direct,""
1717027200,69520.94,67107.22,67576.81,20828.64,1424914242.82,68346.19,direct,""
1717113600,69012.82,66605.09,68346.19,19922.04,1349659294.8,67482.25,direct,""
1717200000,67831.31,67383.55,67482.25,4400.74,297719480.73,67721.6,direct,""
1717286400,68409.58,67279.96,67721.6,6731.43,456585602.02,67738.74,direct,""
1717372800,70283.97,67584.62,67738.74,22783.46,1575608100.17,68799.6,direct,""
1717459200,71090.99,68553.54,68799.6,29746.55,2084571763.56,70548.51,direct,""
1717545600,71782.2,70371.34,70548.51,21737.62,1545204312.75,71117.68,direct,""
1717632000,71642.27,70113.83,71117.68,16078.4,1141567996.37,70772.35,direct,""
1717718400,71943.4,68439.15,70772.35,28318.21,1992355199.22,69330.51,direct,""
1717804800,69547.91,69152.66,69330.51,5753.02,399100009.36,69303.58,direct,""
1717891200,69837.26,69131.01,69303.58,5137.66,357128157.69,69639.42,direct,""
1717977600,70172,69166.61,69639.42,12116.49,843477987.58,69505.57,direct,""
1718064000,69550.65,66054.78,69505.57,31800.9,2141818771.53,67319.41,direct,""
1718150400,70021.47,66896.79,67319.41,31159.85,2139401386.85,68247,direct,""
1718236800,68428.43,66224.61,68247,23051.5,1550737143.4,66742.54,direct,""
1718323200,67317.79,65026.62,66742.54,24684.72,1633598669.38,66006.13,direct,""
1718409600,66419.48,65832.26,66006.13,6139.62,406250537.71,66188.81,direct,""
1718496000,66916.83,66012.05,66188.81,6512.06,433017008.55,66631.59,direct,""
1718582400,66866.33,65062.53,66631.59,13394.17,881455646.74,65312.86,direct,""
